시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
어린이집,가람어린이집(해담은어린이집),경기도 화성시 효행구 봉담읍 샘마을1길 27,경기도 화성시 효행구 봉담읍 상리 11-60번지,37.2180949,126.9510841,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
초등학교,갈담초등학교,경기도 화성시 효행구 봉담읍 갈담초교길 24,경기도 화성시 효행구 봉담읍 유리 86번지,37.17514004,126.932909,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
초등학교,갈천초등학교,경기도 화성시 만세구 만세구 향남읍 발안로 701-23,경기도 화성시 만세구 향남읍 갈천리 156-1번지,37.12724576,126.9804858,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
유치원,경기유치원,경기도 화성시 병점구 한신대길 65-33,경기도 화성시 병점구 안녕동 1-1번지,37.19971533,127.0266752,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,고정초등학교,경기도 화성시 만세구 송산면 공룡로 326,경기도 화성시 만세구 송산면 고정리 1103번지,37.23771628,126.7381741,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,구봉초등학교,경기도 화성시 병점구 병점1로 105,경기도 화성시 병점구 병점동 862번지,37.20565996,127.0448126,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,금곡초등학교,경기도 화성시 동탄구 동탄문화센터로 13,경기도 화성시 동탄구 반송동 78번지,37.19863407,127.0662175,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,기산초등학교,경기도 화성시 병점구 동탄지성로 344,경기도 화성시 병점구 반월동 705-4번지,37.22460078,127.0507334,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,기안초등학교,경기도 화성시 효행구 기안길 18,경기도 화성시 효행구 기안동 226번지,37.22536277,126.9821455,경기도 화성시 효행구 안전건설과,화성동탄경찰서,N,,,2026-02-01
유치원,깊은샘유치원,경기도 화성시 만세구 향남읍 행정서로2길 21,경기도 화성시 만세구 향남읍 행정리 422번지,37.13007595,126.9126298,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
어린이집,꽃내음어린이집,경기도 화성시 효행구 비봉면 비봉로 136-3,경기도 화성시 효행구 비봉면 양노리 301-4번지,37.23582176,126.866111,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
유치원,나인유치원,경기도 화성시 병점구 여울로 115,경기도 화성시 병점구 능동 528-8번지,37.20975486,127.052512,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
어린이집,남양영재어린이집,경기도 화성시 만세구 남양읍 화성로1155번길 11-10,경기도 화성시 만세구 남양읍 남양리 176-4번지,37.2112806,126.809599,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,남양초등학교,경기도 화성시 만세구 남양읍 남양시장로55번길 7,경기도 화성시 만세구 남양읍 남양리 650-1번지,37.21038035,126.8155734,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,내리숲초등학교,경기도 화성시 효행구 봉담읍 삼봉안1길 21-7,경기도 화성시 효행구 봉담읍 내리 560,37.22568963,126.9239792,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
초등학교,노진초등학교,경기도 화성시 만세구 장안면 화곡로 166,경기도 화성시 만세구 장안면 노진리 506-6번지,37.05160265,126.8091907,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,늘봄초등학교,경기도 화성시 동탄구 동탄대로24길 51,경기도 화성시 동탄구 영천동 885번지,37.21736028,127.109816,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
유치원,늘푸른유치원,경기도 화성시 효행구 배양북길32번길 18-11,경기도 화성시 효행구 배양동 19-260번지,37.22357662,126.9955793,경기도 화성시 효행구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,능동초등학교,경기도 화성시 동탄구 동탄원천로 315-27,경기도 화성시 동탄구 능동 1085번지,37.21331507,127.058872,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,다원초등학교,경기도 화성시 동탄구 동탄대로24길 112,경기도 화성시 동탄구 영천동 894번지,37.21242386,127.1109807,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
유치원,다일유치원,경기도 화성시 병점구 병점중앙로242번길 15-5,경기도 화성시 병점구 진안동 921번지,37.21915717,127.0363005,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,대양초등학교,경기도 화성시 만세구 남양읍 시청로32번길 80,경기도 화성시 만세구 남양읍 남양리 2311번지,37.20031947,126.8217358,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,도이초등학교,경기도 화성시 만세구 향남읍 행정동로 87,경기도 화성시 만세구 향남읍 행정리 476번지,37.13263324,126.9261164,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
유치원,동실유치원,경기도 화성시 병점구 병점동로 45-3,경기도 화성시 병점구 병점동 259-8번지,37.20848736,127.0428842,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,동양초등학교,경기도 화성시 만세구 남양읍 시청로45번길 11,경기도 화성시 만세구 남양읍 남양리 1651번지,37.20699234,126.8221898,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
유치원,동탄꿈의 유치원,경기도 화성시 동탄구 노작로4길 5-4,경기도 화성시 동탄구 반송동 120-6번지,37.19698675,127.077249,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,동탄목동초등학교,경기도 화성시 동탄구 동탄순환대로20길 10,경기도 화성시 동탄구 목동 482번지,37.18938961,127.1243164,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
어린이집,동탄산단해솔어린이집,경기도 화성시 동탄구 동탄산단6길 12,경기도 화성시 동탄구 방교동 857번지,37.16838175,127.0870611,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
유치원,동탄유치원,경기도 화성시 동탄구 동탄기흥로353번길 17,경기도 화성시 동탄구 오산동 1003번지,37.19148354,127.0907657,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,동탄중앙초등학교,경기도 화성시 동탄구 동탄대로시범길 117,경기도 화성시 동탄구 청계동 529번지,37.19928404,127.1112669,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,동탄초등학교,경기도 화성시 동탄구 동탄감배산로 26,경기도 화성시 동탄구 오산동 1005번지,37.18903472,127.0911507,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
어린이집,동탄푸른어린이집,경기도 화성시 동탄구 10용사로 360,경기도 화성시 동탄구 능동 977-3번지,37.19895516,127.0580557,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
